48,3244
56,3790
96,7260
108,8163
160,10288
176,11567
240,16531
260,17688
336,21631
360,23420
448,29949
476,31513
576,36802
608,38964
720,47118
756,49222
880,55835
920,58872
1056,68077
1100,70772
1248,78887
1296,82177
1456,92934
1508,97443
1680,105444
1736,109097
1920,120863
1980,124112
2176,135318
2240,139327
2448,152946
2516,156978
2736,169421
2808,174962
3040,189656
3116,194899
3360,209385
3440,215502
3696,234018
3780,242851
4048,257857
4136,264795
4416,283099
4508,289940
4800,307745
4896,314462
5200,333724
5300,338448
5616,352589
5720,352621
6048,369945
