48,4242
56,5063
96,9227
108,10429
160,14184
176,15634
240,21962
260,23513
336,28648
360,31096
448,39159
476,41461
576,49055
608,51935
720,62142
756,65312
880,74787
920,78865
1056,91380
1100,95133
1248,107053
1296,111912
1456,126700
1508,131694
1680,145562
1736,150908
1920,168370
1980,176413
2176,192774
2240,196439
2448,215943
2516,221342
2736,239399
2808,245831
3040,267978
3116,274522
3360,294439
3440,303012
3696,325478
3780,333250
4048,357502
4136,364878
4416,392781
4508,400880
4800,424838
4896,436499
5200,461431
5300,469732
5616,496519
5720,508020
6048,534416
