48,5769
56,7244
96,14143
108,15379
160,20501
176,23019
240,33039
260,35065
336,43380
360,48181
448,61062
476,62876
576,73799
608,78014
720,95449
756,97276
880,111892
920,117359
1056,133863
1100,138129
1248,155120
1296,161396
1456,182840
1508,188824
1680,208578
1736,215728
1920,239691
1980,247172
2176,269944
2240,278157
2448,305321
2516,316498
2736,340475
2808,351291
3040,381181
3116,391327
3360,423167
3440,432495
3696,464411
3780,474753
4048,507775
4136,517504
4416,553242
4508,565887
4800,598533
4896,610904
5200,652086
5300,665033
5616,701351
5720,715695
6048,757919
